,id,mem_id,ln_amt,term,rate,m_pay,grade,sub_grd,emp_len,own_rnt,income,ln_stat,purpose,state,dti,delinq_2yrs,ln_fst,inq_6mnth,open_acc,revol_bal,revol_util,ln_plcy
0,642818,822719,2950, 60 months,0.1595,71.66,E,E1,< 1 year,MORTGAGE,88200.0,Does not meet the credit policy. Status:Fully Paid,other,LA,21.06,0.0,1-May,5.0,8.0,673,0.044000000000000004,False
1,641659,821359,20000, 60 months,0.1966,526.11,G,G1,10+ years,RENT,127000.0,Does not meet the credit policy. Status:Charged Off,debt_consolidation,MO,13.39,1.0,Dec-92,5.0,6.0,16641,0.8079999999999999,False
2,641638,821336,3500, 60 months,0.1557,84.32,D,D5,10+ years,MORTGAGE,66500.0,Does not meet the credit policy. Status:Fully Paid,car,MI,11.62,0.0,Feb-90,7.0,10.0,30191,0.78,False
3,641193,820773,5000, 36 months,0.152,173.82,D,D4,5 years,RENT,42000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,CT,15.71,0.0,5-Oct,5.0,4.0,1191,0.851,False
4,641066,820620,2500, 60 months,0.1483,59.26,D,D3,6 years,MORTGAGE,66720.0,Does not meet the credit policy. Status:Fully Paid,moving,NC,18.49,0.0,2-Dec,4.0,8.0,597,0.069,False
5,640893,820421,5000, 36 months,0.1557,174.73,D,D5,7 years,MORTGAGE,160000.0,Does not meet the credit policy. Status:Charged Off,renewable_energy,PA,15.77,0.0,Mar-78,6.0,17.0,11667,0.904,False
6,640342,819710,15000, 60 months,0.1632,367.33,E,E2,4 years,MORTGAGE,90000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,WA,4.55,0.0,5-May,5.0,7.0,13886,0.784,False
7,640360,819728,10000, 36 months,0.1483,345.83,D,D3,5 years,RENT,56000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,CA,21.11,2.0,3-Apr,4.0,16.0,9216,0.456,False
8,639672,818944,3000, 36 months,0.1223,99.98,C,C1,10+ years,MORTGAGE,52000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,GA,18.44,0.0,Dec-99,4.0,10.0,13760,0.777,False
9,639512,818731,5000, 36 months,0.1409,171.11,D,D1,3 years,RENT,84000.0,Does not meet the credit policy. Status:Fully Paid,major_purchase,CA,19.91,0.0,5-Nov,5.0,3.0,13157,0.914,False
10,639485,818698,7200, 60 months,0.16690000000000002,177.75,E,E3,10+ years,MORTGAGE,86000.0,Does not meet the credit policy. Status:Charged Off,debt_consolidation,IL,22.42,0.0,Jul-91,7.0,23.0,21192,0.325,False
11,604511,775540,11850, 36 months,0.1557,414.1,D,D5,4 years,RENT,70380.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,CA,24.38,0.0,1-May,6.0,11.0,21809,0.925,False
